nombre,stock,categoria,ubicacion,codigo,descripcion
"Aislante",4,"Aislante","6615","AL81949",""
"Arandela",4,"Arandela","6615","T62323",""
"Espárrago",2,"Espárrago","6615","L155927",""
"Tornillo",2,"Tornillo","6615","19M7364","M12 X 80"
"Tuerca de seguridad",2,"Tuerca","6615","14M7319","M12"
"Retenedor redondo",4,"Componente","6615","L156986",""
"Ángulo",2,"Componente","6615","AL154541",""
"Tornillo",4,"Tornillo","6615","19M7496","M12 X 45"
"Filtro",1,"Filtro","6415, 6615","DQ72620",""
"Filtro de combustible",1,"Filtro","6415, 6615","DQ24057",""
"Taza",1,"Componente","6415, 6615","DQ39530",""
"Tapón",1,"Tapón","6415, 6615","DQ72612",""
"Posrefrigerador",1,"Refrigerador","6415, 6615",".......","(ORD DQ72620)"
"Tapón",1,"Tapón","6415, 6615","DQ25143",""
"Tapón roscado",1,"Tapón","6415, 6615","DQ32910",""
"Tornillo",2,"Tornillo","6415, 6615","19M7167","M10 X 25"
"Arandela",2,"Arandela","6415, 6615","24M7040","11 X 20 X 2 mm"
"Arandela de seguridad",2,"Arandela","6415, 6615","12M7066","10 mm"
"Tuerca",2,"Tuerca","6415, 6615","14M7140","M10"
"Abrazadera para mangueras",1,"Manguera","6415, 6615","AL150169",""
"Manguera",1,"Manguera","6415","L211695","(SUB FOR L202660 OR L158225)"
"Manguera",1,"Manguera","6615","L158227",""
"Abrazadera",1,"Abrazadera","6415, 6615","AL112933",""
"Tornillo",4,"Tornillo","6415, 6615","19M7793","M16 X 40"
"Soporte",1,"Soporte","6415","AL118341","RH"
"Soporte",1,"Soporte","6615","AL111449",""
"Soporte",1,"Soporte","6415","AL118342","LH"
"Soporte",1,"Soporte","6615","AL111451",""
"Espárrago",2,"Espárrago","6415","L155927",""
"Arandela",4,"Arandela","6415","T62323",""
"Aislante",4,"Aislante","6415","AL161468",""
"Retenedor redondo",4,"Componente","6415","L156986",""
"Ángulo",2,"Componente","6415","AL154541",""
"Tuerca de seguridad",2,"Tuerca","6415","14M7319","M12"
"Tornillo",4,"Tornillo","6415","19M7303","M12 X 45"
"Tornillo",2,"Tornillo","6415","19M7364","M12 X 80"
"Tornillo",2,"Tornillo","6415, 6615","19M7166","M10 X 20"
"Ángulo",1,"Componente","6415, 6615","L111120",""
"Tornillo",2,"Tornillo","6415, 6615","19M7408","M10 X 90"
"Tornillo",2,"Tornillo","6415, 6615","19M7268","M12 X 25"
"Retenedor",1,"Componente","6415, 6615","L111857",""
"Soporte",1,"Soporte","6415, 6615","L111294",""
"Tornillo",4,"Tornillo","6415, 6615","19M7168","M10 X 30"
"Rodamiento de bolas",1,"Rodamiento","6415, 6615","JD10058",""
"Anillo elástico",1,"Anillo","6415, 6615","40M1863",""
"Cubo",1,"Cubo","6415, 6615","L110777",""
"Espárrago",1,"Espárrago","6415, 6615","42M7058",""
"Tensor",1,"Tensor","6415, 6615","AL156090",""
"Rueda loca",1,"Rueda","6415, 6615","AL157593",""
"Tornillo",1,"Tornillo","6415, 6615","L112545","M10 X 28"
"Tapa",1,"Tapa","6415, 6615","L154170",""
"Tornillo",3,"Tornillo","6415, 6615","19M7835","M10 X 35"
"Espárrago",4,"Espárrago","6415, 6615","42M7058",""
"Polea",1,"Polea","6415, 6615","R128661","OD = 183.5 mm, Sin cabina"
"Polea",1,"Polea","6415, 6615","R128660","OD = 168 mm, Con cabina"
"Ventilador",1,"Ventilador","6415, 6615","L79028",""
"Espaciador",1,"Espaciador","6415","L205139","SUB FOR L159010"
"Espaciador",1,"Espaciador","6615","L205138","SUB FOR CQ43567"
"Tuerca",4,"Tuerca","6415, 6615","14M7274","M10"
"Tornillo",6,"Tornillo","6415, 6615","L154687",""
"Correa trapezoidal",1,"Correa","6415, 6615","CQ51921","(SIN CABINA) LGTH= 1910MM"
"Correa plana",1,"Correa","6415, 6615","CQ58873","(CON CABINA) LGTH= 2455MM"
"Coraza",1,"Coraza","6415","L158231",""
"Coraza",1,"Coraza","6615","L158228",""
"Tornillo",4,"Tornillo","6415, 6615","19M7865","M8 X 16, (SUB FOR 19M7162)"
"Arandela",4,"Arandela","6415","24M7055","8.400 X 16 X 1.600 mm"
"Manguera",1,"Manguera","6415","L166315",""
"Manguera",1,"Manguera","6615","L166316",""
"Abrazadera para mangueras",2,"Manguera","6415, 6615","TY22465","SUB FOR AR21837"
"Manguera",1,"Manguera","6415","L158232",""
"Manguera",1,"Manguera","6615","L158230",""
"Manguera",1,"Manguera","6415, 6615","L156969",""
"Banda de guarnición",1,"Banda","6415, 6615","L158289",""
"Cabeza del radiador",1,"Radiador","6415, 6615","AL203689","(SUB FOR AL162689)"
"Radiador",1,"Radiador","6415","AL162692",""
"Radiador",1,"Radiador","6615","AL162690",""
"Manguera",1,"Manguera","6415, 6615","L158229",""
"Abrazadera",2,"Abrazadera","6415, 6615","AL37489",""
"Ángulo",2,"Componente","6415, 6615","L158251",""
"Abrazadera para mangueras",4,"Manguera","6415, 6615","MN10393",""
"Arandela",4,"Arandela","6415, 6615","24M7139","6.400 X 18 X 1.600 mm"
"Tornillo",4,"Tornillo","6415, 6615","19M7560","M6 X 16"
"Tornillo de mariposa",4,"Tornillo","6415, 6615","L79057",""
"Aislante",4,"Aislante","6415, 6615","L78871",""
"Manguera",1,"Manguera","6415","L168269",""
"Manguera",1,"Manguera","6615","L114595",""
"Manguito de radiador",1,"Radiador","6615","L169329",""
"Aislante",2,"Aislante","6415, 6615","L158241",""
