nombre,stock,categoria,ubicacion,codigo,descripcion
Tuerca de seguridad M8,32,Tuerca,Embocador - Piso Central,14M7396,Tuerca de seguridad M8
Patín,8,Componente,Embocador - Piso Central,AXE28255,Patín
Piso,1,Componente,Embocador - Piso Central,AXE34024,Piso
Tornillo M16 x 90,2,Tornillo,Embocador - Piso Central,19M9403,Tornillo M16 x 90, SUB FOR APPL HXE119772
Muelle,2,Componente,Embocador - Piso Central,19023,Muelle
Casquillo (SUB FOR HXE33795),2,Casquillo,Embocador - Piso Central,HXE124500,Casquillo (SUB FOR HXE33795)
Soporte (SUB FOR HXE33796),2,Soporte,Embocador - Piso Central,HXE124501,Soporte (SUB FOR HXE33796)
Soporte (SUB FOR HXE124501 OR HXE33796),2,Soporte,Embocador - Piso Central,HXE129980,Soporte (SUB FOR HXE124501 OR HXE33796)
Tuerca con brida M20,2,Tuerca,Embocador - Piso Central,14M7300,Tuerca con brida M20
Arandela 17 x 50 x 3 mm,2,Arandela,Embocador - Piso Central,24M7525,Arandela 17 x 50 x 3 mm, USE WITH HXE119772
Cáncamo,2,Componente,Embocador - Piso Central,H215214,Cáncamo
Arandela 21 x 50 x 6 mm,4,Arandela,Embocador - Piso Central,24M7365,Arandela 21 x 50 x 6 mm
Casquillo,2,Casquillo,Embocador - Piso Central,HXE60044,Casquillo
