nombre,stock,categoria,ubicacion,codigo,descripcion
Pasador de aletas 4 x 25 mm,1,Componente,Embocador - Transmisión,11M7021,Pasador de aletas 4 x 25 mm
Tuerca M12,2,Tuerca,Embocador - Transmisión,14M7275,Tuerca M12
Tuerca con brida M16,1,Tuerca,Embocador - Transmisión,14M7291,Tuerca con brida M16
Tuerca con brida M10,4,Tuerca,Embocador - Transmisión,14M7296,Tuerca con brida M10
Tuerca con brida M12,10,Tuerca,Embocador - Transmisión,14M7299,Tuerca con brida M12
Retén,2,Componente,Embocador - Transmisión,AA5607R,Retén
Tornillo M10 x 20,4,Tornillo,Embocador - Transmisión,19M7784,Tornillo M10 x 20
Tornillo M12 x 30,3,Tornillo,Embocador - Transmisión,19M7789,Tornillo M12 x 30
Tornillo M12 x 35,1,Tornillo,Embocador - Transmisión,19M7790,Tornillo M12 x 35
Tornillo M12 x 50,2,Tornillo,Embocador - Transmisión,19M7814,Tornillo M12 x 50
Tornillo M16 x 100,1,Tornillo,Embocador - Transmisión,19M7828,Tornillo M16 x 100
Tornillo M16 x 140,1,Tornillo,Embocador - Transmisión,19M8043,Tornillo M16 x 140
Arandela 13 x 24 x 2.5 mm,1,Arandela,Embocador - Transmisión,24M7047,Arandela 13 x 24 x 2.5 mm
Arandela 26 x 44 x 4 mm,1,Arandela,Embocador - Transmisión,24M7091,Arandela 26 x 44 x 4 mm
Arandela 13.5 x 44 x 4 mm,,Arandela,Embocador - Transmisión,24M7102,Arandela 13.5 x 44 x 4 mm
Arandela 17 x 50 x 3 mm,2,Arandela,Embocador - Transmisión,24M7315,Arandela 17 x 50 x 3 mm
Horquilla,,Componente,Embocador - Transmisión,AH221178,Horquilla
Brazo,,Componente,Embocador - Transmisión,AH222516,Brazo
Casquillo,2,Componente,Embocador - Transmisión,H171061,Casquillo
Pivote,,Componente,Embocador - Transmisión,AXE22588,Pivote
Soporte,,Componente,Embocador - Transmisión,AH222781,Soporte
Revestimiento LH,,Componente,Embocador - Transmisión,AXE29943,Revestimiento LH
Polea tensor,4,Componente,Embocador - Transmisión,AH226058,Polea tensor
Espaciador,,Componente,Embocador - Transmisión,H156850,Espaciador
Pivote,,Componente,Embocador - Transmisión,H170141,Pivote
Manómetro,,Componente,Embocador - Transmisión,H211566,Manómetro
Polea superior,,Componente,Embocador - Transmisión,H216853,Polea superior
Soporte,,Componente,Embocador - Transmisión,HXE73056,Soporte
Refuerzo,,Componente,Embocador - Transmisión,H224257,Refuerzo
Correa trapezoidal LGTH 3913 mm,,Componente,Embocador - Transmisión,HXE47152,Correa trapezoidal LGTH 3913 mm, WIDTH 76 mm
Tira,,Componente,Embocador - Transmisión,H231294,Tira
Árbol,,Componente,Embocador - Transmisión,HXE10467,Árbol
Rodamiento de bolas,2,Rodamiento,Embocador - Transmisión,JD10018,OEM JD10018 = SKU 63102RS
Tornillo M8 x 20,3,Tornillo,Embocador - Transmisión,03M7184,Tornillo M8 x 20
Tuerca,3,Tuerca,Embocador - Transmisión,M84309,Tuerca
Bulón 12 x 40 mm,,Tornillo,Embocador - Transmisión,45M7094,Bulón 12 x 40 mm
Anillo elástico,2,Componente,Embocador - Transmisión,BP13615,Anillo elástico
Muelle de compresión,,Componente,Embocador - Transmisión,N203041,Muelle de compresión
Anillo elástico,,Componente,Embocador - Transmisión,P46402,Anillo elástico
Tornillo M12 x 40,,Tornillo,Embocador - Transmisión,03M7200,Tornillo M12 x 40
Presilla,,Componente,Embocador - Transmisión,HXE37629,Presilla
Etiqueta adhesiva – Llenado de aceite,,Componente,Embocador - Transmisión,H230897,Etiqueta adhesiva – Llenado de aceite
Árbol superior,,Componente,Embocador - Transmisión,HXE31771,Árbol superior
Soporte,,Componente,Embocador - Transmisión,AXE16618,Soporte
Manguera hidráulica (válvula de alivio),,Componente,Embocador - Transmisión,AXE57111,Manguera hidráulica (válvula de alivio)
Acoplamiento,,Componente,Embocador - Transmisión,HXE104402,Acoplamiento
Aspilla,,Componente,Embocador - Transmisión,AH233205,Aspilla
Espaciador,,Componente,Embocador - Transmisión,AH233209,Espaciador
Manguera hidráulica LGTH = 863.5 mm,,Componente,Embocador - Transmisión,H94729,Manguera hidráulica LGTH = 863.5 mm
Válvula descarga de presión,,Componente,Embocador - Transmisión,AE38448,Válvula descarga de presión
Horquilla,,Componente,Embocador - Transmisión,R185966,Horquilla
Anillo tórico,,Componente,Embocador - Transmisión,R26906,Anillo tórico
Anillo tórico,,Componente,Embocador - Transmisión,R26375,Anillo tórico
