nombre,stock,categoria,ubicacion,codigo,descripcion
Rodamiento de bolas hexagonal con soporte,2,Rodamiento,Embocador - Tambor,JD9373,OEM JD9373 = SKU W208PPB16
Bulón hexagonal con brida M12 x 35,16,Tornillo,Embocador - Tambor,19M7790,OEM 19M7790 = DIN 6921
Tuerca hexagonal con brida M12,8,Tuerca,Embocador - Tambor,14M7299,OEM 14M7299 = DIN 6923
Barra del tambor,1,Componente principal,Embocador - Tambor,H231268,OEM H231268
Tambor principal,1,Componente principal,Embocador - Tambor,AXE27254,OEM AXE27254
Brazo izquierdo del tambor,1,Componente principal,Embocador - Tambor,AXE48405,OEM AXE48405
Brazo derecho del tambor,1,Componente principal,Embocador - Tambor,AXE48406,OEM AXE48406
Eslabón de cadena,4,Componente,Embocador - Cadena transportadora,AH220541,Eslabón de cadena
Tuerca,8,Tuerca,Embocador - Cadena transportadora,H226769,Tuerca
Cadena de rodillos (SUB FOR APPL AXE27247),1,Componente,Embocador - Cadena transportadora,AXE89726,Cadena de rodillos (SUB FOR APPL AXE27247)
Tuerca de seguridad M10,108,Tuerca,Embocador - Cadena transportadora,14M7517,Tuerca de seguridad M10
Tornillo M10 x 25,108,Tornillo,Embocador - Cadena transportadora,19M7402,Tornillo M10 x 25
Listón,9,Componente,Embocador - Cadena transportadora,HXE24328,Listón
Listón (SUB FOR APPL HXE42402),18,Componente,Embocador - Cadena transportadora,HXE172683,Listón (SUB FOR APPL HXE42402)
Eslabón de cadena,1,Componente,Embocador - Cadena transportadora,AXE28719,Eslabón de cadena
Eslabón de cadena,1,Componente,Embocador - Cadena transportadora,AH220867,Eslabón de cadena
Rodamiento de bolas estandar con soporte,1,Rodamiento,Embocador - Eje superior,JD10020,OEM JD10020 = SKU 208DBL
Bulón hexagonal M5 x 16,6,Tornillo,Embocador - Eje superior,19M7372,OEM 19M7372 ≈ DIN 912 / ISO 4762
Bulón hexagonal M8 x 25,4,Tornillo,Embocador - Eje superior,19M7867,OEM 19M7867 ≈ DIN 912 / ISO 4762
Bulón hexagonal M10 x 16,4,Tornillo,Embocador - Eje superior,19M7783,OEM 19M7783 ≈ DIN 912 / ISO 4762
Bulón hexagonal con brida M12 x 30,16,Tornillo,Embocador - Eje superior,19M7789,OEM 19M7789 = DIN 6921
Bulón hexagonal con brida M20 x 55,9,Tornillo,Embocador - Eje superior,19M8002,OEM 19M8002 = DIN 6921
Tuerca hexagonal con brida M20,12,Tuerca,Embocador - Eje superior,14M7300,OEM 14M7300 = DIN 6923
Tuerca hexagonal con brida M5,6,Tuerca,Embocador - Eje superior,14M7375,OEM 14M7375 = DIN 6923
Tuerca hexagonal con brida M12,8,Tuerca,Embocador - Eje superior,14M7299,OEM 14M7299 = DIN 6923
Arandela plana 21.4 x 42 x 5 mm,12,Arandela,Embocador - Eje superior,24M7242,Arandela plana 21.4 x 42 x 5 mm
Arandela plana 13/32" x 1-3/8" x 1/4",4,Arandela,Embocador - Eje superior,24H1909,Arandela plana 13/32" x 1-3/8" x 1/4"
Espaciador 9 x 19.05 x 13 mm,4,Espaciador,Embocador - Eje superior,M145213,Espaciador 9 x 19.05 x 13 mm
Tornillo de fijación,16,Tornillo,Embocador - Eje superior,H156580,Tornillo de fijación
Cepillo,2,Componente,Embocador - Eje superior,AH227837,Cepillo
Casquillo SUB FOR APPL H240373,2,Casquillo,Embocador - Eje superior,HXE135694,Casquillo SUB FOR APPL H240373
Apoyo,1,Componente,Embocador - Eje superior,AXE27136,Apoyo
Árbol,1,Componente,Embocador - Eje superior,HXE42567,Árbol
Rueda dentada Z = 13,4,Componente,Embocador - Eje superior,HXE123463,Rueda dentada Z = 13
Chaveta,4,Componente,Embocador - Eje superior,H229470,Chaveta
Carcasa,2,Componente,Embocador - Eje superior,H147593,Carcasa
Tubo,1,Componente,Embocador - Eje superior,AXE47444,Tubo
Fleje,4,Componente,Embocador - Eje superior,H171960,Fleje
Tuerca de seguridad M8,32,Tuerca,Piso Central del Alimentador,14M7396,Tuerca de seguridad M8
Patín,8,Componente,Piso Central del Alimentador,AXE28255,Patín
Piso,1,Componente,Piso Central del Alimentador,AXE34024,Piso
Tornillo M16 x 90,2,Tornillo,Piso Central del Alimentador,19M9403,Tornillo M16 x 90, SUB FOR APPL HXE119772
Muelle,2,Componente,Piso Central del Alimentador,19023,Muelle
Casquillo (SUB FOR HXE33795),2,Casquillo,Piso Central del Alimentador,HXE124500,Casquillo (SUB FOR HXE33795)
Soporte (SUB FOR HXE33796),2,Soporte,Piso Central del Alimentador,HXE124501,Soporte (SUB FOR HXE33796)
Soporte (SUB FOR HXE124501 OR HXE33796),2,Soporte,Piso Central del Alimentador,HXE129980,Soporte (SUB FOR HXE124501 OR HXE33796)
Tuerca con brida M20,2,Tuerca,Piso Central del Alimentador,14M7300,Tuerca con brida M20
Arandela 17 x 50 x 3 mm,2,Arandela,Piso Central del Alimentador,24M7525,Arandela 17 x 50 x 3 mm, USE WITH HXE119772
Cáncamo,2,Componente,Piso Central del Alimentador,H215214,Cáncamo
Arandela 21 x 50 x 6 mm,4,Arandela,Piso Central del Alimentador,24M7365,Arandela 21 x 50 x 6 mm
Casquillo,2,Casquillo,Piso Central del Alimentador,HXE60044,Casquillo
Tornillo M8 x 20,3,Tornillo,Bastidor fijo del alimentador de mies,03M7608,Tornillo M8 x 20
Tuerca con brida M8,5,Tuerca,Bastidor fijo del alimentador de mies,14M7298,Tuerca con brida M8
Tornillo M8 x 30,2,Tornillo,Bastidor fijo del alimentador de mies,19M7868,Tornillo M8 x 30
Pasamuros,2,Componente,Bastidor fijo del alimentador de mies,H209379,Pasamuros
Tapadera,1,Componente,Bastidor fijo del alimentador de mies,H226617,Tapadera
Pasador (posible ajuste de inclinación),2,Componente,Bastidor fijo del alimentador de mies,HXE44824,Pasador (posible ajuste de inclinación)
Apoyo (pivote estructural),1,Componente,Bastidor fijo del alimentador de mies,HXE47153,Apoyo (pivote estructural)
Bastidor (SUB FOR AXE42992; incluye HXE123792),1,Componente,Bastidor fijo del alimentador de mies,AXE68588,Bastidor (SUB FOR AXE42992; incluye HXE123792)
Soporte,1,Componente,Bastidor fijo del alimentador de mies,AH224033,Soporte
Tuerca con brida M10,3,Tuerca,Bastidor fijo del alimentador de mies,14M7296,Tuerca con brida M10
Placa de desgaste,2,Componente,Bastidor fijo del alimentador de mies,HXE58530,Placa de desgaste
Tuerca,1,Tuerca,Bastidor fijo del alimentador de mies,M84309,Tuerca
Aislante,2,Componente,Bastidor fijo del alimentador de mies,HXE61936,Aislante
Remache,4,Componente,Bastidor fijo del alimentador de mies,M64720,Remache
Tira/alfombrilla,2,Componente,Bastidor fijo del alimentador de mies,H162672,Tira/alfombrilla
Tornillo (alternativa),2,Tornillo,Bastidor fijo del alimentador de mies,GX22456,Tornillo (alternativa)
Placa,1,Componente,Bastidor fijo del alimentador de mies,HXE83498,Placa
Casquillo,2,Casquillo,Bastidor fijo del alimentador de mies,HXE84738,Casquillo
Tornillo M12 x 30,1,Tornillo,Bastidor fijo del alimentador de mies,03M7353,Tornillo M12 x 30
Tuerca con brida M12,1,Tuerca,Bastidor fijo del alimentador de mies,14M7299,Tuerca con brida M12
Pasador de aletas,2,Componente,Bastidor fijo del alimentador de mies,H147486,Pasador de aletas
Etiqueta adhesiva – Elevador del molinete,1,Componente,Bastidor fijo del alimentador de mies,HXE123797,Etiqueta adhesiva – Elevador del molinete (SUB FOR H151671; USE WITH AXE42992)
Etiqueta adhesiva – Colector,1,Componente,Bastidor fijo del alimentador de mies,HXE123792,Etiqueta adhesiva – Colector (USE WITH AXE68588)
Pasador de aletas 4 x 25 mm,1,Componente,Transmisión del Embocador,11M7021,Pasador de aletas 4 x 25 mm
Tuerca M12,2,Tuerca,Transmisión del Embocador,14M7275,Tuerca M12
Tuerca con brida M16,1,Tuerca,Transmisión del Embocador,14M7291,Tuerca con brida M16
Tuerca con brida M10,4,Tuerca,Transmisión del Embocador,14M7296,Tuerca con brida M10
Tuerca con brida M12,10,Tuerca,Transmisión del Embocador,14M7299,Tuerca con brida M12
Retén,2,Componente,Transmisión del Embocador,AA5607R,Retén
Tornillo M10 x 20,4,Tornillo,Transmisión del Embocador,19M7784,Tornillo M10 x 20
Tornillo M12 x 30,3,Tornillo,Transmisión del Embocador,19M7789,Tornillo M12 x 30
Tornillo M12 x 35,1,Tornillo,Transmisión del Embocador,19M7790,Tornillo M12 x 35
Tornillo M12 x 50,2,Tornillo,Transmisión del Embocador,19M7814,Tornillo M12 x 50
Tornillo M16 x 100,1,Tornillo,Transmisión del Embocador,19M7828,Tornillo M16 x 100
Tornillo M16 x 140,1,Tornillo,Transmisión del Embocador,19M8043,Tornillo M16 x 140
Arandela 13 x 24 x 2.5 mm,1,Arandela,Transmisión del Embocador,24M7047,Arandela 13 x 24 x 2.5 mm
Arandela 26 x 44 x 4 mm,1,Arandela,Transmisión del Embocador,24M7091,Arandela 26 x 44 x 4 mm
Rodamiento de bolas hexagonal con soporte,0,Rodamiento,Embocador - Tambor,JD9373,OEM JD9373 = SKU W208PPB16
Bulón hexagonal con brida M12 x 35,0,Tornillo,Embocador - Tambor,19M7790,OEM 19M7790 = DIN 6921
Tuerca hexagonal con brida M12,0,Tuerca,Embocador - Tambor,14M7299,OEM 14M7299 = DIN 6923
Barra del tambor,0,Componente principal,Embocador - Tambor,H231268,OEM H231268
Tambor principal,0,Componente principal,Embocador - Tambor,AXE27254,OEM AXE27254
Brazo izquierdo del tambor,0,Componente principal,Embocador - Tambor,AXE48405,OEM AXE48405
Brazo derecho del tambor,0,Componente principal,Embocador - Tambor,AXE48406,OEM AXE48406
